cik_str,Scandal Year,Ticker,Company Name,Anomaly Ticker,earliest XBRL,XBRL available during anomaly,10-Q/ 10-K available,Decision,Detail - needs to be updated
2488,2009,AMD,ADVANCED MICRO DEVICES INC,AMD,2007,Yes,Yes,Yes,AMD (Antitrust lawsuit)
5272,2000,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
5272,2001,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
5272,2005,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
5272,2000,AIG-PA,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
5272,2001,AIG-PA,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
5272,2005,AIG-PA,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
14272,2001,BMY,BRISTOL MYERS SQUIBB CO,BMY,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentation)
14272,2002,BMY,BRISTOL MYERS SQUIBB CO,BMY,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentation)
14272,2002,BMYMP,BRISTOL MYERS SQUIBB CO,BMY,2006,No,Yes,No,Financial Misrepresentation
14272,2002,CELG-RI,BRISTOL MYERS SQUIBB CO,BMY,2006,No,Yes,No,Financial Misrepresentation
18926,2000,LUMN,"Lumen Technologies, Inc.",Q (Quest Communications),2007,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
18926,2001,LUMN,"Lumen Technologies, Inc.",Q (Quest Communications),2007,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
18926,2002,LUMN,"Lumen Technologies, Inc.",Q (Quest Communications),2007,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
18926,2002,LUMN,"Lumen Technologies, Inc.",LUMN,2007,No,Yes,No,Lumen Technologies (formerly CenturyLink)
19617,2005,JPM,JPMORGAN CHASE & CO,JPM,2006,No,Yes,No,Security Fraud
19617,2006,JPM,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Security Fraud
19617,2007,JPM,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Security Fraud
19617,2008,JPM,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Security Fraud
19617,2009,JPM,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Security Fraud
19617,2010,JPM,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Security Fraud
19617,2012,JPM-PC,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
19617,2012,JPM-PD,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
19617,2012,JPM-PJ,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
19617,2012,JPM-PK,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
19617,2012,JPM-PL,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
19617,2012,JPM-PM,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
19617,2012,AMJ,JPMORGAN CHASE & CO,JPM,2006,Yes,Yes,Yes,Trading Fraud
27419,2008,TGT,TARGET CORP,TGT,2007,Yes,Yes,Yes,Target Corporation (Data breach)
40545,2009,GE,GENERAL ELECTRIC CO,GE,2006,Yes,Yes,Yes,General Electric (Accounting fraud)
47217,2012,HPQ,HP INC,HPQ,2006,Yes,Yes,Yes,HP Inc. (involved in the aftermath of Autonomy scandal)
50863,2014,INTC,INTEL CORP,INTC,2006,Yes,Yes,Yes,Intel (Antitrust investigations)
51143,2005,IBM,INTERNATIONAL BUSINESS MACHINES CORP,IBM,2006,No,Yes,No,IBM (Bribery scandal)
60086,2015,L,LOEWS CORP,L,2006,Yes,Yes,Yes,Loews Corporation (Environmental violations)
70858,2008,BAC,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BML-PG,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BML-PH,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PE,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BML-PJ,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BML-PL,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PB,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PK,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PL,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PM,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PN,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PO,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PP,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,MER-PK,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PQ,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BAC-PS,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
70858,2008,BACRP,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
72971,2012,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2013,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2014,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2015,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PY,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PR,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PL,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PD,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PZ,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFCNP,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PA,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
77476,2016,PEP,PEPSICO INC,PEP,2006,Yes,Yes,Yes,PepsiCo (Bribery scandal)
91419,2017,SJM,J M SMUCKER Co,SJM,2008,Yes,Yes,Yes,J.M. Smucker Company (Misleading labeling)
96223,2005,JEF,Jefferies Financial Group Inc.,LUK,2006,No,Yes,No,"Leucadia National (involved in Refco scandal, now part of Jefferies Financial Group, ticker 'JEF')"
100493,2019,TSN,"TYSON FOODS, INC.",TSN,2007,Yes,Yes,Yes,Tyson Foods (Labor practices investigation)
310522,2003,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAS,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAH,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMFN,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAJ,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAM,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAN,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAI,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAT,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAK,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
