account_name,cluster
AcceleratedShareRepurchaseProgramAdjustment,6
AcceleratedShareRepurchasesFinalPricePaidPerShare,10
AcceleratedShareRepurchasesSettlementPaymentOrReceipt,10
AccountsAndNotesReceivableNet,15
AccountsAndOtherReceivablesNetCurrent,15
AccountsNotesAndLoansReceivableNetCurrent,15
AccountsPayable,14
AccountsPayableAndAccruedLiabilitiesCurrent,15
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,15
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,4
AccountsPayableAndAccruedLiabilitiesNoncurrent,15
AccountsPayableAndOtherAccruedLiabilities,15
AccountsPayableAndOtherAccruedLiabilitiesCurrent,15
AccountsPayableCurrent,15
AccountsPayableCurrentAndNoncurrent,15
AccountsPayableOtherCurrent,15
AccountsPayableOtherCurrentAndNoncurrent,15
AccountsPayableRelatedPartiesCurrent,15
AccountsPayableRelatedPartiesCurrentAndNoncurrent,15
AccountsPayableTradeCurrent,15
AccountsPayableTradeCurrentAndNoncurrent,15
AccountsReceivableBilledForLongTermContractsOrPrograms,2
AccountsReceivableGross,14
AccountsReceivableGrossCurrent,15
AccountsReceivableGrossNoncurrent,15
AccountsReceivableNet,15
AccountsReceivableNetCurrent,15
AccountsReceivableNetNoncurrent,15
AccountsReceivableRelatedParties,14
AccountsReceivableRelatedPartiesCurrent,15
AccountsReceivableSale,14
AccretionAmortizationOfDiscountsAndPremiumsInvestments,2
AccretionExpense,17
AccretionOfDiscount,17
AccrualForEnvironmentalLossContingencies,14
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,6
AccrualForEnvironmentalLossContingenciesPayments,8
AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear,8
AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,8
AccrualForTaxesOtherThanIncomeTaxesCurrent,12
AccruedAdvertising,17
AccruedAdvertisingCurrent,15
AccruedBonusesCurrent,15
AccruedBonusesCurrentAndNoncurrent,15
AccruedEmployeeBenefitsCurrent,15
AccruedEnvironmentalLossContingenciesCurrent,15
AccruedEnvironmentalLossContingenciesNoncurrent,14
AccruedIncomeTaxes,14
AccruedIncomeTaxesCurrent,15
AccruedIncomeTaxesNoncurrent,15
AccruedInsuranceCurrent,15
AccruedInsuranceCurrentAndNoncurrent,15
AccruedInsuranceNoncurrent,15
AccruedInvestmentIncomeReceivable,14
AccruedLiabilities,14
AccruedLiabilitiesAndOtherLiabilities,15
AccruedLiabilitiesCurrent,15
AccruedLiabilitiesForUnredeeemedGiftCards,2
AccruedMarketingCostsCurrent,15
AccruedParticipationLiabilitiesDueInNextOperatingCycle,8
AccruedPayrollTaxesCurrentAndNoncurrent,15
AccruedProfessionalFeesCurrent,15
AccruedProfessionalFeesCurrentAndNoncurrent,15
AccruedRentCurrent,15
AccruedRentCurrentAndNoncurrent,15
AccruedRentNoncurrent,15
AccruedRoyaltiesCurrent,15
AccruedSalariesCurrent,15
AccruedSalariesCurrentAndNoncurrent,15
AccruedUtilitiesCurrent,15
AccruedVacationCurrent,15
AccumulatedAmortizationDeferredFinanceCosts,2
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,2
AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge,2
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,2
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment,2
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1,2
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,3
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,3
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,3
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,9
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,3
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,5
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxHeldtomaturityDebtSecurities,5
AcquiredFiniteLivedIntangibleAssetAmount,1
AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife,1
AcquiredIndefiniteLivedIntangibleAssetAmount,1
AcquisitionCosts,17
AdditionalCollateralAggregateFairValue,13
AdditionalPaidInCapital,14
AdditionalPaidInCapitalCommonStock,10
AdditionalPaidInCapitalPreferredStock,10
AdditionsToContractHoldersFunds,0
AdditionsToNoncurrentAssets,14
AdjustmentForAmortization,17
AdjustmentForLongTermIntercompanyTransactionsNetOfTax,2
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,3
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,3
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,3
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,10
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,10
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,10
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustments,3
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation,3
AdjustmentsToAdditionalPaidInCapitalOther,3
AdjustmentsToAdditionalPaidInCapitalReallocationOfMinorityInterest,3
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,10
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,10
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,10
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationOtherLongtermIncentivePlansRequisiteServicePeriodRecognition,10
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,10
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,3
AdjustmentsToAdditionalPaidInCapitalStockSplit,10
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,10
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,10
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,3
AdministrativeServicesRevenue,17
AdvancesFromFederalHomeLoanBanks,0
AdvancesOnInventoryPurchases,14
AdvertisingExpense,17
AdvertisingRevenue,17
AdvertisingRevenueCost,17
AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount,12
AggregateIndebtedness,14
AllocatedShareBasedCompensationExpense,10
AllocatedShareBasedCompensationExpenseNetOfTax,10
AllowanceForDoubtfulAccountsReceivable,14
AllowanceForDoubtfulAccountsReceivableCurrent,15
AllowanceForDoubtfulAccountsReceivableNoncurrent,14
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,11
AllowanceForDoubtfulAccountsReceivableRecoveries,2
AllowanceForDoubtfulAccountsReceivableWriteOffs,2
AllowanceForDoubtfulOtherReceivablesCurrent,15
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,5
AllowanceForLoanAndLeaseLossesAdjustmentsNet,5
AllowanceForLoanAndLeaseLossesForeignCurrencyTranslation,5
AllowanceForLoanAndLeaseLossesLoansAcquired,5
AllowanceForLoanAndLeaseLossesProvisionForLossGross,5
AllowanceForLoanAndLeaseLossesProvisionForLossNet,5
