end_date,year,ticker,form,Assets,EarningsPerShareBasic,EarningsPerShareDiluted,LiabilitiesAndStockholdersEquity,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
2008-01-01,2008,CAKE,10-K,,,,,,,,0
2008-01-31,2008,MDLZ,10-K,,,,,,,,0
2008-02-02,2008,TGT,10-K,,0.8531746031746035,0.8811475409836066,,,,,1
2008-02-02,2008,TGT,10-K/A,,0.8531746031746035,0.8811475409836066,,,,,1
2008-02-02,2008,TGT,10-Q,,,,,,,,1
2008-02-03,2008,HD,10-K,,0.46031746031746035,0.48770491803278687,,0.7226672400729123,,0.07610929294466855,0
2008-02-03,2008,HD,10-Q,,,,,,,,0
2008-02-29,2008,MDLZ,10-K,,,,,,,,0
2008-03-30,2008,PZZA,10-Q,,-0.3650793650793651,-0.3606557377049181,,-0.20640147326771377,,,0
2008-03-30,2008,QCOM,10-K,,,,,,,,0
2008-03-31,2008,AMZN,10-Q,,,,,,,,0
2008-03-31,2008,C,10-K,,,,,,,,1
2008-03-31,2008,NFLX,10-Q,,,,,,,,0
2008-04-08,2008,JPM,10-K,,,,,,,,1
2008-04-08,2008,JPM,8-K,,,,,,,,1
2008-04-09,2008,ORCL,10-K,,,,,,,,0
2008-04-30,2008,ORCL,10-K,,,,,,,,0
2008-04-30,2008,SJM,10-K,,,,,,,-0.24974878507188192,0
2008-04-30,2008,SJM,8-K,,,,,,,-0.24974878507188192,0
2008-05-31,2008,ORCL,10-K,,-0.055555555555555525,-0.04918032786885251,,0.973871365124232,,,0
2008-05-31,2008,ORCL,10-Q,,,,,,,,0
2008-06-25,2008,EAT,10-K,,,,,,,-0.2744175330420704,0
2008-06-28,2008,AAPL,10-Q,,1.6626984126984132,1.6844262295081964,,0.802095167369567,,,0
2008-06-28,2008,INTC,10-Q,,-0.1626984126984127,-0.15573770491803285,,0.7756191845437533,,,0
2008-06-29,2008,PZZA,10-Q,,-0.1507936507936508,-0.13934426229508204,,-0.20316166020128462,,,0
2008-06-29,2008,QCOM,10-K,,,,,,,,0
2008-06-29,2008,QCOM,10-Q,,0.25396825396825395,0.26639344262295067,,,,,0
2008-06-29,2008,SBUX,10-Q,,-0.3214285714285715,-0.3155737704918034,,-0.14396581056788008,,,0
2008-06-30,2008,AMZN,10-Q,,-0.04761904761904758,-0.04508196721311489,,0.01353451606632005,,,0
2008-06-30,2008,BAC,10-Q,,0.17857142857142858,0.20081967213114746,,1.4925888630091453,,3.0446583817903,1
2008-06-30,2008,C,10-K,,,,,,,,1
2008-06-30,2008,EBAY,10-Q,,-0.06746031746031753,-0.05737704918032792,,0.08415295192223102,,,0
2008-06-30,2008,GE,10-Q,,0.09126984126984128,0.11065573770491795,,2.851971682856148,,,0
2008-06-30,2008,JPM,10-Q,,0.21031746031746038,0.22540983606557372,,1.1428940606650124,,2.4403092342891184,1
2008-06-30,2008,L,10-Q/A,,7.448412698412701,7.692622950819672,,2.034393333195023,,,0
2008-06-30,2008,MDLZ,10-Q,,0.05952380952380959,0.07377049180327858,,0.23423830890230246,,,0
2008-06-30,2008,NFLX,10-Q,,-0.0595238095238095,-0.05737704918032792,,-0.19414266960363685,,,0
2008-06-30,2008,WFC,10-Q,,0.17460317460317462,0.19672131147540975,,0.9577739463853511,,,0
2008-07-01,2008,BAC,10-Q,,,,,,,,1
2008-07-26,2008,CSCO,10-K,,0.5873015873015874,0.5901639344262295,,1.497248530082557,,,0
2008-07-26,2008,CSCO,10-Q,,,,,,,,0
2008-07-26,2008,CSCO,8-K,,0.05158730158730164,0.05327868852459012,,1.497248530082557,,,0
2008-07-31,2008,HPQ,10-Q/A,,0.8293650793650794,0.8319672131147541,,,,,0
2008-08-02,2008,TGT,10-Q,0.012239314645460702,0.4642857142857144,0.49180327868852447,0.012257571292511777,,0.10573326256263209,,1
2008-08-03,2008,HD,10-Q,,0.17063492063492064,0.1885245901639344,,0.37636138471127,,,0
2008-08-31,2008,ORCL,10-Q,,-0.40079365079365087,-0.3975409836065575,,,,,0
2008-09-06,2008,PEP,10-Q,,1.023809523809524,1.0450819672131149,,1.0624070516937527,,,0
2008-09-06,2008,YUM,10-Q,,0.384920634920635,0.3811475409836064,,0.012475476753287505,,,0
2008-09-27,2008,AAPL,10-K,0.2732565593109895,4.4444444444444455,4.491803278688525,-0.0353035136947395,2.1117032030463987,0.19151576813275012,0.6005610874541643,0
2008-09-27,2008,AAPL,10-K/A,-0.06425853417345012,2.2698412698412707,2.2950819672131146,-0.0643543847510688,1.0878239952065338,0.22842754331774728,0.16995080210942937,0
2008-09-27,2008,AAPL,10-Q,-0.03525093200675197,,,-0.0353035136947395,,0.19151576813275012,0.1440077097874237,0
2008-09-27,2008,INTC,10-Q,,0.011904761904761918,0.016393442622950744,,1.289676888270537,,,0
2008-09-27,2008,TSN,10-K,,,,,,,,0
2008-09-27,2008,TSN,10-Q,,,,,,,,0
2008-09-28,2008,PZZA,10-Q,,-0.035714285714285754,-0.024590163934426253,,-0.20149981571127396,,,0
2008-09-28,2008,QCOM,10-K,-0.16199393941549486,0.28571428571428575,0.29508196721311464,-0.16223557599907748,0.46108452975387365,0.10159362422412772,0.08081877300312261,0
2008-09-28,2008,QCOM,10-K/A,-0.16199393941549486,0.28571428571428575,0.29508196721311464,-0.16223557599907748,0.46108452975387365,0.10159362422412772,0.08081877300312261,0
2008-09-28,2008,QCOM,10-Q,-0.16326478114523257,,,-0.16350831336673202,,0.10159362422412772,,0
2008-09-28,2008,SBUX,10-K,-0.3243836308864248,-0.31349206349206354,-0.307377049180328,-0.32486749437304874,-0.14140293543034133,-0.13743024334065224,-0.23559890652425364,0
2008-09-28,2008,SBUX,10-Q,-0.3243836308864248,,,-0.32486749437304874,,-0.13743024334065224,-0.23559890652425364,0
2008-09-30,2008,AMZN,10-Q,,0.023809523809523836,0.02459016393442616,,0.03852784385388812,,,0
2008-09-30,2008,BAC,10-Q,,0.007936507936507945,0.02459016393442616,,1.2689196965543128,,3.010832029370447,1
2008-09-30,2008,C,10-K,,,,,,,,1
2008-09-30,2008,C,10-Q,,-1.5873015873015877,-1.6229508196721312,,-3.0117171855424485,,,1
2008-09-30,2008,EBAY,10-Q,,0.09523809523809525,0.11065573770491804,,0.19515997005926417,,,0
2008-09-30,2008,GE,10-Q,,0.23015873015873023,0.25409836065573765,,3.6043134226423303,,,0
2008-09-30,2008,GE,10-Q/A,,0.23015873015873023,0.25409836065573765,,3.6043134226423303,,,0
2008-09-30,2008,JPM,10-K,,,,,,,,1
2008-09-30,2008,JPM,10-Q,,0.07142857142857151,0.08606557377049179,,0.9418883778706492,,,1
2008-09-30,2008,JPM,8-K,,,,,,,,1
2008-09-30,2008,L,10-Q,,,,,0.9251555567247349,,,0
2008-09-30,2008,MDLZ,10-Q,,0.5833333333333334,0.6147540983606558,,0.6534060478197976,,,0
2008-09-30,2008,NFLX,10-Q,,0.03968253968253972,0.040983606557377,,-0.19114283484554087,,,0
2008-09-30,2008,TSN,10-K,,,-0.38524590163934436,,-0.19001283989853512,,,0
2008-09-30,2008,WFC,10-Q,,0.35714285714285726,0.38114754098360665,,1.2799337054098514,,,0
2008-10-16,2008,GE,10-K,,,,,,,,0
2008-10-16,2008,GE,10-Q,,,,,,,,0
2008-10-16,2008,GE,8-K,,,,,,,,0
2008-10-17,2008,GE,10-K,,,,,,,,0
2008-10-17,2008,GE,8-K,,,,,,,,0
2008-10-25,2008,CSCO,10-K,,-0.3373015873015873,-0.3319672131147542,,0.25796078951423146,,,0
2008-10-25,2008,CSCO,10-Q,,-0.3373015873015873,-0.3319672131147542,,0.25796078951423146,,,0
2008-10-25,2008,CSCO,8-K,,-0.3373015873015873,-0.3319672131147542,,0.25796078951423146,,,0
2008-10-28,2008,JPM,10-K,,,,,,,,1
2008-10-28,2008,JPM,8-K,,,,,,,,1
2008-10-31,2008,HPQ,10-K,0.5938498407699281,0.8452380952380953,0.8483606557377049,0.5947356507403658,1.5559193715669188,0.5113603247591353,,0
2008-10-31,2008,HPQ,10-K/A,0.5938498407699281,0.8452380952380953,0.8483606557377049,0.5947356507403658,1.5559193715669188,0.5113603247591353,,0
2008-10-31,2008,HPQ,10-Q,,,,,,,,0
2008-10-31,2008,HPQ,10-Q/A,0.5938498407699281,,,0.5947356507403658,,0.5113603247591353,,0
2008-11-01,2008,TGT,10-Q,0.028453208123523973,0.5317460317460317,0.5614754098360655,0.028495650057016927,,0.10878049633958668,,1
2008-11-02,2008,HD,10-Q,,0.24206349206349206,0.2622950819672131,,0.4420218009385016,,,0
2008-11-30,2008,LVS,10-K,,,,,,,,0
2008-11-30,2008,LVS,10-K/A,,,,,,,,0
2008-11-30,2008,ORCL,10-Q,,-0.2023809523809524,-0.1926229508196722,,,,,0
2008-12-27,2008,AAPL,10-K,,0.523809523809524,0.540983606557377,,0.269398414094983,,,0
