end_date,year,ticker,form,Assets,EarningsPerShareBasic,EarningsPerShareDiluted,LiabilitiesAndStockholdersEquity,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
2008-01-01,2008,CAKE,10-K,,,,,,,,0
2008-01-31,2008,MDLZ,10-K,,,,,,,,0
2008-02-02,2008,TGT,10-K,,0.1422882378170469,0.14863502889793181,,,,,1
2008-02-02,2008,TGT,10-K/A,,0.1422882378170469,0.14863502889793181,,,,,1
2008-02-02,2008,TGT,10-Q,,,,,,,,1
2008-02-03,2008,HD,10-K,,-0.01572097329571682,-0.009172009211860191,,-0.0125696292633903,,-0.3734686908578954,0
2008-02-03,2008,HD,10-Q,,,,,,,,0
2008-02-29,2008,MDLZ,10-K,,,,,,,,0
2008-03-30,2008,PZZA,10-Q,,-0.3476999218962708,-0.34944343513609927,,-0.4394558689247527,,,0
2008-03-30,2008,QCOM,10-K,,,,,,,,0
2008-03-31,2008,AMZN,10-Q,,,,,,,,0
2008-03-31,2008,C,10-K,,,,,,,,1
2008-03-31,2008,NFLX,10-Q,,,,,,,,0
2008-04-08,2008,JPM,10-K,,,,,,,,1
2008-04-08,2008,JPM,8-K,,,,,,,,1
2008-04-09,2008,ORCL,10-K,,,,,,,,0
2008-04-30,2008,ORCL,10-K,,,,,,,,0
2008-04-30,2008,SJM,10-K,,,,,,,-0.5671366419414722,0
2008-04-30,2008,SJM,8-K,,,,,,,-0.5671366419414722,0
2008-05-31,2008,ORCL,10-K,,-0.22320781617106303,-0.22451286329918055,,0.10285303301203663,,,0
2008-05-31,2008,ORCL,10-Q,,,,,,,,0
2008-06-25,2008,EAT,10-K,,,,,,,-0.5817980733973495,0
2008-06-28,2008,AAPL,10-Q,,0.4678829758675902,0.47082439837209034,,0.02392572217929003,,,0
2008-06-28,2008,INTC,10-Q,,-0.2663012373836349,-0.2672522694539159,,0.011760601787697816,,,0
2008-06-29,2008,PZZA,10-Q,,-0.26151307947112695,-0.2606769761993412,,-0.43796724747267435,,,0
2008-06-29,2008,QCOM,10-K,,,,,,,,0
2008-06-29,2008,QCOM,10-Q,,-0.09871571044585531,-0.09793846814861823,,,,,0
2008-06-29,2008,SBUX,10-Q,,-0.3301433428837414,-0.33136137868601884,,-0.4107680820173,,,0
2008-06-30,2008,AMZN,10-Q,,-0.22001571089605768,-0.2228690399855369,,-0.3384002138317962,,,0
2008-06-30,2008,BAC,10-Q,,-0.1290407105584059,-0.1242396411669169,,0.34119209118830396,,1.3908356444133392,1
2008-06-30,2008,C,10-K,,,,,,,,1
2008-06-30,2008,EBAY,10-Q,,-0.22799597408357106,-0.2278005099264679,,-0.30595262615563634,,,0
2008-06-30,2008,GE,10-Q,,-0.16415386858346448,-0.16040375406707755,,0.965798013110022,,,0
2008-06-30,2008,JPM,10-Q,,-0.11627228945838458,-0.11437670128505488,,0.18051517132405764,,1.0316514810251431,1
2008-06-30,2008,L,10-Q/A,,2.7949277213464736,2.880669376173705,,0.5901390954176544,,,0
2008-06-30,2008,MDLZ,10-Q,,-0.17692228968348578,-0.17519816388987056,,-0.23699177024748347,,,0
2008-06-30,2008,NFLX,10-Q,,-0.22480386880856568,-0.2278005099264679,,-0.43382322354151925,,,0
2008-06-30,2008,WFC,10-Q,,-0.13063676319590856,-0.12588346448056056,,0.09545663008185225,,,0
2008-07-01,2008,BAC,10-Q,,,,,,,,1
2008-07-26,2008,CSCO,10-K,,0.03535271110436845,0.031923573629231476,,0.3433331037167426,,,0
2008-07-26,2008,CSCO,10-Q,,,,,,,,0
2008-07-26,2008,CSCO,8-K,,-0.1801143949584911,-0.18341728045808886,,0.3433331037167426,,,0
2008-07-31,2008,HPQ,10-Q/A,,0.13271192199203088,0.12890914913420778,,,,,0
2008-08-02,2008,TGT,10-Q,-0.36112060155038334,-0.014124920658214118,-0.007528185898216559,-0.37302848039385444,,-0.3806208629950304,,1
2008-08-03,2008,HD,10-Q,,-0.13223281583341123,-0.12917111110784785,,-0.17168940398541646,,,0
2008-08-31,2008,ORCL,10-Q,,-0.3620643956337947,-0.3642378449588922,,,,,0
2008-09-06,2008,PEP,10-Q,,0.21091850122966135,0.21438796144367853,,0.143533195601521,,,0
2008-09-06,2008,YUM,10-Q,,-0.04604597340826741,-0.05191141536659556,,-0.3388868186474599,,,0
2008-09-27,2008,AAPL,10-K,-0.32545394752072254,1.5867158747569572,1.5968433682180023,-0.380391256052478,0.6256612469611037,-0.3268284010476789,-0.06177009770655326,0
2008-09-27,2008,AAPL,10-K/A,-0.37157363621992645,0.7120790294054977,0.7157540721049969,-0.38488852617011066,0.15521171117744953,-0.30368177868159335,-0.3176956594905194,0
2008-09-27,2008,AAPL,10-Q,-0.36760989768596325,,,-0.380391256052478,,-0.3268284010476789,-0.3331144748390827,0
2008-09-27,2008,INTC,10-Q,,-0.19607492133351775,-0.1982116902808819,,0.24795858904294857,,,0
2008-09-27,2008,TSN,10-K,,,,,,,,0
2008-09-27,2008,TSN,10-Q,,,,,,,,0
2008-09-28,2008,PZZA,10-Q,,-0.21522755298354973,-0.21464992341731853,,-0.4372036671959349,,,0
2008-09-28,2008,QCOM,10-K,-0.38492867293285926,-0.085947289345834,-0.08643170495311256,-0.40004119252646253,-0.13276101873232138,-0.3832167458772082,-0.3706696951750465,0
2008-09-28,2008,QCOM,10-K/A,-0.38492867293285926,-0.085947289345834,-0.08643170495311256,-0.40004119252646253,-0.13276101873232138,-0.3832167458772082,-0.3706696951750465,0
2008-09-28,2008,QCOM,10-Q,-0.3851023268703955,,,-0.40023822082623534,,-0.3832167458772082,,0
2008-09-28,2008,SBUX,10-K,-0.4071183828545115,-0.3269512376087361,-0.3280737320587316,-0.4252177066921948,-0.40959049836339384,-0.5331037445727339,-0.5587269133777953,0
2008-09-28,2008,SBUX,10-Q,-0.4071183828545115,,,-0.4252177066921948,,-0.5331037445727339,-0.5587269133777953,0
2008-09-30,2008,AMZN,10-Q,,-0.19128676342100975,-0.19492404365359456,,-0.3269163401821331,,,0
2008-09-30,2008,BAC,10-Q,,-0.1976709739710204,-0.19492404365359456,,0.23842112492384396,,1.3707315536826157,1
2008-09-30,2008,C,10-K,,,,,,,,1
2008-09-30,2008,C,10-Q,,-0.8392841342470911,-0.8557410157383485,,-1.728435530256689,,,1
2008-09-30,2008,EBAY,10-Q,,-0.16255781594596183,-0.16040375406707752,,-0.25494739062451044,,,0
2008-09-30,2008,GE,10-Q,,-0.10829202627087127,-0.10286993808954921,,1.3114821714784695,,,0
2008-09-30,2008,GE,10-Q/A,,-0.10829202627087127,-0.10286993808954921,,1.3114821714784695,,,0
2008-09-30,2008,JPM,10-K,,,,,,,,1
2008-09-30,2008,JPM,10-Q,,-0.17213413177097778,-0.17026669394893953,,0.08815756757899323,,,1
2008-09-30,2008,JPM,8-K,,,,,,,,1
2008-09-30,2008,L,10-Q,,,,,0.08046921149150696,,,0
2008-09-30,2008,MDLZ,10-Q,,0.03375665846686575,0.041786513511093484,,-0.04439359393989185,,,0
2008-09-30,2008,NFLX,10-Q,,-0.1849025528709991,-0.18834875039901988,,-0.4324448667406703,,,0
2008-09-30,2008,TSN,10-K,,,-0.3593063750179612,,-0.4319256594023571,,,0
2008-09-30,2008,WFC,10-Q,,-0.05721834187078603,-0.05191141536659549,,0.24348181500674632,,,0
2008-10-16,2008,GE,10-K,,,,,,,,0
2008-10-16,2008,GE,10-Q,,,,,,,,0
2008-10-16,2008,GE,8-K,,,,,,,,0
2008-10-17,2008,GE,10-K,,,,,,,,0
2008-10-17,2008,GE,8-K,,,,,,,,0
2008-10-25,2008,CSCO,10-K,,-0.3365275534337521,-0.3379366719405935,,-0.22609182237661685,,,0
2008-10-25,2008,CSCO,10-Q,,-0.3365275534337521,-0.3379366719405935,,-0.22609182237661685,,,0
2008-10-25,2008,CSCO,8-K,,-0.3365275534337521,-0.3379366719405935,,-0.22609182237661685,,,0
2008-10-28,2008,JPM,10-K,,,,,,,,1
2008-10-28,2008,JPM,8-K,,,,,,,,1
2008-10-31,2008,HPQ,10-K,-0.28164653675488616,0.13909613254204156,0.13548444238878246,-0.2828569583146162,0.3702910397007999,-0.12626039447052329,,0
2008-10-31,2008,HPQ,10-K/A,-0.28164653675488616,0.13909613254204156,0.13548444238878246,-0.2828569583146162,0.3702910397007999,-0.12626039447052329,,0
2008-10-31,2008,HPQ,10-Q,,,,,,,,0
2008-10-31,2008,HPQ,10-Q/A,-0.28164653675488616,,,-0.2828569583146162,,-0.12626039447052329,,0
2008-11-01,2008,TGT,10-Q,-0.3589050570184621,0.013007974179331076,0.020416810433725764,-0.37051471664977337,,-0.37871000476231614,,1
2008-11-02,2008,HD,10-Q,,-0.10350386835836331,-0.09958229146226187,,-0.14151991514636408,,,0
2008-11-30,2008,LVS,10-K,,,,,,,,0
2008-11-30,2008,LVS,10-K/A,,,,,,,,0
