,cik_str,ticker,title,sic,sicDescription,category,entityType,exchanges,fiscalYearEnd,stateOfIncorporation
0,320193,AAPL,Apple Inc.,3571,Electronic Computers,Large accelerated filer,operating,['Nasdaq'],28-09,CA
1,789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,Large accelerated filer,operating,['Nasdaq'],30-06,WA
2,1652044,GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",Large accelerated filer,operating,"['Nasdaq', 'Nasdaq']",31-12,DE
3,1018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,Large accelerated filer,operating,['Nasdaq'],31-12,DE
4,1045810,NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],08-12,DE
5,1326801,META,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",Large accelerated filer,operating,['Nasdaq'],31-12,DE
6,1067983,BRK-B,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance",Large accelerated filer,operating,"['NYSE', 'NYSE']",31-12,DE
7,1318605,TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,Large accelerated filer,operating,['Nasdaq'],31-12,DE
8,59478,LLY,ELI LILLY & Co,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,IN
9,1403161,V,VISA INC.,7389,"Services-Business Services, NEC",Large accelerated filer,operating,['NYSE'],30-09,DE
10,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3674,Semiconductors & Related Devices,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,
11,1730168,AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],29-10,
12,731766,UNH,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans,Large accelerated filer,operating,['NYSE'],31-12,DE
13,19617,JPM,JPMORGAN CHASE & CO,6021,National Commercial Banks,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",31-12,DE
14,353278,NVO,NOVO NORDISK A S,2834,Pharmaceutical Preparations,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,
15,884394,SPY,SPDR S&P 500 ETF TRUST,0,,,other,['NYSE'],30-09,NY
16,104169,WMT,Walmart Inc.,5331,Retail-Variety Stores,Large accelerated filer,operating,['NYSE'],31-01,DE
17,1141391,MA,Mastercard Inc,7389,"Services-Business Services, NEC",Large accelerated filer,operating,['NYSE'],31-12,DE
18,34088,XOM,EXXON MOBIL CORP,2911,Petroleum Refining,Large accelerated filer,operating,['NYSE'],31-12,NJ
19,200406,JNJ,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,NJ
20,824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON,2080,Beverages,,other,"['OTC', 'OTC']",31-12,
21,354950,HD,"HOME DEPOT, INC.",5211,Retail-Lumber & Other Building Materials Dealers,Large accelerated filer,operating,['NYSE'],08-12,DE
22,80424,PG,PROCTER & GAMBLE Co,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Large accelerated filer,operating,['NYSE'],30-06,OH
23,1047716,LTMAY,LATAM AIRLINES GROUP S.A.,4512,"Air Transportation, Scheduled",Large accelerated filer,other,['OTC'],31-12,
24,310158,MRK,"Merck & Co., Inc.",2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,NJ
25,909832,COST,COSTCO WHOLESALE CORP /NEW,5331,Retail-Variety Stores,Large accelerated filer,operating,['Nasdaq'],03-09,WA
26,1551152,ABBV,AbbVie Inc.,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,DE
27,1341439,ORCL,ORACLE CORP,7372,Services-Prepackaged Software,Large accelerated filer,operating,['NYSE'],31-05,
28,937966,ASML,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",Large accelerated filer,other,"['Nasdaq', 'OTC']",31-12,
29,93410,CVX,CHEVRON CORP,2911,Petroleum Refining,Large accelerated filer,operating,['NYSE'],31-12,DE
30,796343,ADBE,ADOBE INC.,7372,Services-Prepackaged Software,Large accelerated filer,operating,['Nasdaq'],01-12,DE
31,70858,BAC,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'OTC', 'NYSE']",31-12,DE
32,1094517,TM,TOYOTA MOTOR CORP/,3711,Motor Vehicles & Passenger Car Bodies,Large accelerated filer,other,"['NYSE', 'OTC']",31-03,M0
33,21344,KO,COCA COLA CO,2080,Beverages,Large accelerated filer,operating,['NYSE'],31-12,DE
34,1108524,CRM,"Salesforce, Inc.",7372,Services-Prepackaged Software,Large accelerated filer,operating,['NYSE'],31-01,DE
35,2488,AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],28-12,DE
36,1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC,2086,Bottled & Canned Soft Drinks & Carbonated Waters,Large accelerated filer,other,['NYSE'],31-12,O5
37,77476,PEP,PEPSICO INC,2080,Beverages,Large accelerated filer,operating,['Nasdaq'],30-12,NC
38,1114448,NVS,NOVARTIS AG,2834,Pharmaceutical Preparations,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,V8
39,1467373,ACN,Accenture plc,7389,"Services-Business Services, NEC",Large accelerated filer,operating,['NYSE'],31-08,L2
40,901832,AZN,ASTRAZENECA PLC,2834,Pharmaceutical Preparations,Large accelerated filer,other,"['Nasdaq', 'OTC']",31-12,X0
41,63908,MCD,MCDONALDS CORP,5812,Retail-Eating  Places,Large accelerated filer,operating,['NYSE'],31-12,DE
42,1065280,NFLX,NETFLIX INC,7841,Services-Video Tape Rental,Large accelerated filer,operating,['Nasdaq'],31-12,DE
43,97745,TMO,THERMO FISHER SCIENTIFIC INC.,3829,"Measuring & Controlling Devices, NEC",Large accelerated filer,operating,['NYSE'],31-12,DE
44,1306965,SHEL,Shell plc,1311,Crude Petroleum & Natural Gas,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,X0
45,858877,CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,Large accelerated filer,operating,['Nasdaq'],27-07,DE
46,50863,INTC,INTEL CORP,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],30-12,DE
47,1737806,PDD,PDD Holdings Inc.,7389,"Services-Business Services, NEC",Large accelerated filer,other,['Nasdaq'],31-12,E9
48,1800,ABT,ABBOTT LABORATORIES,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,IL
49,1707925,LIN,LINDE PLC,2810,Industrial Inorganic Chemicals,Large accelerated filer,operating,['Nasdaq'],31-12,L2
50,1283699,TMUS,"T-Mobile US, Inc.",4812,Radiotelephone Communications,Large accelerated filer,operating,['Nasdaq'],31-12,DE
51,1000184,SAP,SAP SE,7372,Services-Prepackaged Software,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,2M
52,1577552,BABA,Alibaba Group Holding Ltd,7389,"Services-Business Services, NEC",Large accelerated filer,other,"['NYSE', 'OTC']",,K3
53,72971,WFC,WELLS FARGO & COMPANY/MN,6021,National Commercial Banks,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'OTC', 'NYSE', 'NYSE', 'NYSE']",31-12,DE
54,1166691,CMCSA,COMCAST CORP,4841,Cable & Other Pay Television Services,Large accelerated filer,operating,"['Nasdaq', 'NYSE']",31-12,PA
55,896878,INTU,INTUIT INC.,7372,Services-Prepackaged Software,Large accelerated filer,operating,['Nasdaq'],31-07,DE
56,313616,DHR,DANAHER CORP /DE/,3823,"Industrial Instruments For Measurement, Display, and Control",Large accelerated filer,operating,['NYSE'],31-12,DE
57,1144967,HDB,HDFC BANK LTD,6029,"Commercial Banks, NEC",Large accelerated filer,other,['NYSE'],31-03,K7
58,811809,BHP,BHP Group Ltd,1000,Metal Mining,Large accelerated filer,other,"['NYSE', 'OTC']",30-06,C3
59,732712,VZ,VERIZON COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone),Large accelerated filer,operating,['NYSE'],31-12,DE
60,1744489,DIS,Walt Disney Co,7990,Services-Miscellaneous Amusement & Recreation,Large accelerated filer,operating,['NYSE'],28-09,DE
61,78003,PFE,PFIZER INC,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,DE
62,318154,AMGN,AMGEN INC,2836,"Biological Products, (No Diagnostic Substances)",Large accelerated filer,operating,['Nasdaq'],31-12,DE
63,1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1",0,,,other,['Nasdaq'],30-09,
64,320187,NKE,"NIKE, Inc.",3021,Rubber & Plastics Footwear,Large accelerated filer,operating,['NYSE'],31-05,OR
65,1089113,HSBC,HSBC HOLDINGS PLC,6035,"Savings Institution, Federally Chartered",Large accelerated filer,other,"['NYSE', 'OTC']",31-12,
66,804328,QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,Large accelerated filer,operating,['Nasdaq'],24-09,DE
67,879764,TTE,TotalEnergies SE,1311,Crude Petroleum & Natural Gas,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,I0
68,97476,TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],31-12,DE
69,895421,MS,MORGAN STANLEY,6211,"Security Brokers, Dealers & Flotation Companies",Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'OTC']",31-12,DE
70,18230,CAT,CATERPILLAR INC,3531,Construction Machinery & Equip,Large accelerated filer,operating,['NYSE'],31-12,TX
71,1393818,BX,Blackstone Inc.,6282,Investment Advice,Large accelerated filer,operating,['NYSE'],31-12,DE
72,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment,Large accelerated filer,operating,['NYSE'],31-12,NY
73,1373715,NOW,"ServiceNow, Inc.",7372,Services-Prepackaged Software,Large accelerated filer,operating,['NYSE'],31-12,
74,1413329,PM,Philip Morris International Inc.,2111,Cigarettes,Large accelerated filer,operating,['NYSE'],31-12,VA
75,100885,UNP,UNION PACIFIC CORP,4011,"Railroads, Line-Haul Operating",Large accelerated filer,operating,['NYSE'],31-12,UT
76,887028,RTNTF,RIO TINTO LTD,1000,Metal Mining,,other,['OTC'],31-12,C3
77,40545,GE,GENERAL ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),Large accelerated filer,operating,['NYSE'],31-12,NY
78,1000275,RY,ROYAL BANK OF CANADA,6029,"Commercial Banks, NEC",,other,"['NYSE', 'NYSE', 'OTC', 'OTC']",31-10,A6
79,12927,BA,BOEING CO,3721,Aircraft,Large accelerated filer,operating,['NYSE'],31-12,DE
80,64040,SPGI,S&P Global Inc.,7320,"Services-Consumer Credit Reporting, Collection Agencies",Large accelerated filer,operating,['NYSE'],31-12,NY
81,1090727,UPS,UNITED PARCEL SERVICE INC,4210,Trucking & Courier Services (No Air),Large accelerated filer,operating,['NYSE'],31-12,DE
82,4962,AXP,AMERICAN EXPRESS CO,6199,Finance Services,Large accelerated filer,operating,['NYSE'],31-12,NY
83,773840,HON,HONEYWELL INTERNATIONAL INC,3724,Aircraft Engines & Engine Parts,Large accelerated filer,operating,['Nasdaq'],31-12,DE
84,1163165,COP,CONOCOPHILLIPS,2911,Petroleum Refining,Large accelerated filer,operating,['NYSE'],31-12,DE
85,1668717,BUD,Anheuser-Busch InBev SA/NV,2082,Malt Beverages,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,C9
86,1121404,SNY,Sanofi,2834,Pharmaceutical Preparations,Large accelerated filer,other,"['Nasdaq', 'OTC']",31-12,I0
87,1543151,UBER,"Uber Technologies, Inc",7389,"Services-Business Services, NEC",Large accelerated filer,operating,['NYSE'],31-12,DE
88,753308,NEE,NEXTERA ENERGY INC,4911,Electric Services,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE']",31-12,FL
89,1035267,ISRG,INTUITIVE SURGICAL INC,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Large accelerated filer,operating,['Nasdaq'],31-12,DE
