,sic,sicDescription,count
0,2834,Pharmaceutical Preparations,806
1,6770,Blank Checks,665
2,6798,Real Estate Investment Trusts,394
3,7372,Services-Prepackaged Software,387
4,2836,"Biological Products, (No Diagnostic Substances)",263
5,6022,State Commercial Banks,262
6,6021,National Commercial Banks,219
7,3841,Surgical & Medical Instruments & Apparatus,200
8,7389,"Services-Business Services, NEC",191
9,1311,Crude Petroleum & Natural Gas,167
10,6199,Finance Services,147
11,7374,Services-Computer Processing & Data Preparation,138
12,4911,Electric Services,137
13,3674,Semiconductors & Related Devices,126
14,7370,"Services-Computer Programming, Data Processing, Etc.",115
15,1040,Gold and Silver Ores,113
16,6331,"Fire, Marine & Casualty Insurance",108
17,6029,"Commercial Banks, NEC",105
18,1000,Metal Mining,98
19,6221,Commodity Contracts Brokers & Dealers,92
20,6282,Investment Advice,82
21,6500,Real Estate,79
22,3711,Motor Vehicles & Passenger Car Bodies,75
23,7371,Services-Computer Programming Services,73
24,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",70
25,8200,Services-Educational Services,67
26,4412,Deep Sea Foreign Transportation of  Freight,64
27,8742,Services-Management Consulting Services,64
28,5812,Retail-Eating  Places,63
29,4813,Telephone Communications (No Radiotelephone),62
30,2833,Medicinal Chemicals & Botanical Products,62
31,6311,Life Insurance,59
32,3845,Electromedical & Electrotherapeutic Apparatus,59
33,7373,Services-Computer Integrated Systems Design,57
34,6211,"Security Brokers, Dealers & Flotation Companies",57
35,3714,Motor Vehicle Parts & Accessories,57
36,6035,"Savings Institution, Federally Chartered",56
37,4931,Electric & Other Services Combined,53
38,8880,American Depositary Receipts,52
39,6111,Federal & Federally-Sponsored Credit Agencies,48
40,7900,Services-Amusement & Recreation Services,47
41,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",46
42,3663,Radio & Tv Broadcasting & Communications Equipment,45
43,5961,Retail-Catalog & Mail-Order Houses,44
44,2080,Beverages,44
45,8071,Services-Medical Laboratories,44
46,4922,Natural Gas Transmission,44
47,7990,Services-Miscellaneous Amusement & Recreation,41
48,6036,"Savings Institutions, Not Federally Chartered",39
49,4400,Water Transportation,39
50,100,Agricultural Production-Crops,39
51,2000,Food and Kindred Products,38
52,6411,"Insurance Agents, Brokers & Service",37
53,8000,Services-Health Services,37
54,3826,Laboratory Analytical Instruments,36
55,2860,Industrial Organic Chemicals,35
56,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),35
57,3669,"Communications Equipment, NEC",35
58,7011,Hotels & Motels,34
59,7310,Services-Advertising,33
60,5900,Retail-Miscellaneous Retail,31
61,1531,Operative Builders,31
62,4700,Transportation Services,30
63,5990,"Retail-Retail Stores, NEC",30
64,7200,Services-Personal Services,29
65,4512,"Air Transportation, Scheduled",29
66,4841,Cable & Other Pay Television Services,29
67,2844,"Perfumes, Cosmetics & Other Toilet Preparations",28
68,5500,Retail-Auto Dealers & Gasoline Stations,27
69,4610,Pipe Lines (No Natural Gas),27
70,3721,Aircraft,27
71,4833,Television Broadcasting Stations,26
72,8731,Services-Commercial Physical & Biological Research,26
73,3620,Electrical Industrial Apparatus,25
74,1389,"Oil & Gas Field Services, NEC",25
75,6512,Opeators of  Nonresidential Buildings,25
76,7363,Services-Help Supply Services,25
77,4899,"Communications Services, NEC",24
78,2911,Petroleum Refining,24
79,2835,In Vitro & In Vivo Diagnostic Substances,23
80,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,23
81,3559,"Special Industry Machinery, NEC",23
82,1381,Drilling Oil & Gas Wells,23
83,3949,"Sporting & Athletic Goods, NEC",22
84,4812,Radiotelephone Communications,22
85,7359,"Services-Equipment Rental & Leasing, NEC",22
86,7311,Services-Advertising Agencies,21
87,3829,"Measuring & Controlling Devices, NEC",21
88,3990,Miscellaneous Manufacturing Industries,20
89,5810,Retail-Eating & Drinking Places,20
90,3679,"Electronic Components, NEC",20
91,3823,"Industrial Instruments For Measurement, Display, and Control",20
92,1700,Construction - Special Trade Contractors,20
93,4941,Water Supply,20
94,4522,"Air Transportation, Nonscheduled",20
95,6794,Patent Owners & Lessors,20
96,6531,Real Estate Agents & Managers (For Others),20
97,3569,"General Industrial Machinery & Equipment, NEC",19
98,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",19
